Employee ID,Gender,Days in Company,Office,WFH Setup Available,Designation,Resource Allocation,Mental Fatigue Score,Burn Rate
fffe32003400340039003400,Female,447,Rio de Janeiro,No,0,1.0,3.0,0.19
fffe31003500310034003800,Male,662,Rio de Janeiro,No,1,3.0,4.7,0.31
fffe32003700310030003800,Male,608,Sao Paulo,No,4,8.0,8.7,0.81
fffe32003800300036003300,Male,515,Rio de Janeiro,Yes,3,5.0,4.4,0.39
fffe390036003000,Female,519,Rio de Janeiro,Yes,3,6.0,5.8,0.42
fffe32003700390039003300,Female,563,Sao Paulo,Yes,0,2.0,3.9,0.19
fffe32003500390036003500,Female,613,Rio de Janeiro,Yes,3,7.0,6.6,0.56
fffe33003400390030003300,Female,428,Rio de Janeiro,No,4,7.0,7.3,0.53
fffe3200350030003300,Female,674,Rio de Janeiro,Yes,3,5.0,,0.5
fffe3800360036003400,Female,558,Sao Paulo,Yes,1,3.0,5.4,0.33
fffe33003200380030003900,Male,683,Rio de Janeiro,No,2,5.0,5.0,0.45
fffe31003800370038003900,Female,556,Rio de Janeiro,Yes,2,3.0,6.0,0.36
fffe31003700330031003000,Female,389,Rio de Janeiro,Yes,3,6.0,7.5,0.59
fffe31003500330034003700,Male,514,Rio de Janeiro,Yes,2,3.0,,
fffe32003300380035003700,Male,630,Rio de Janeiro,No,4,10.0,10.0,0.94
fffe3500320032003000,Female,646,Sao Paulo,Yes,3,6.0,,
fffe3900300031003500,Female,510,Sao Paulo,No,3,,7.7,0.61
fffe32003700300034003600,Female,491,Sao Paulo,Yes,1,3.0,6.0,0.37
fffe31003500390030003200,Male,651,Rio de Janeiro,No,2,6.0,7.4,0.65
fffe31003500360032003800,Female,528,Rio de Janeiro,Yes,2,5.0,6.4,0.49
fffe31003300360038003700,Female,591,Rio de Janeiro,No,1,2.0,5.1,
fffe32003100320039003700,Male,709,Rio de Janeiro,Yes,1,3.0,5.6,0.38
fffe31003200340033003100,Male,449,Sao Paulo,No,2,5.0,7.4,0.62
fffe33003100340034003900,Female,478,Sao Paulo,Yes,3,5.0,6.1,0.39
fffe32003100340032003800,Female,585,Sao Paulo,Yes,2,4.0,3.1,0.15
fffe380030003100,Male,375,Rio de Janeiro,No,2,5.0,8.0,0.61
fffe3900310031003800,Female,633,Sao Paulo,No,1,2.0,4.0,0.26
fffe3200390030003200,Female,375,Rio de Janeiro,No,2,2.0,3.6,0.28
fffe3800370031003300,Male,676,Sao Paulo,Yes,2,5.0,8.7,0.71
fffe3300320030003200,Male,617,Sao Paulo,No,3,,8.0,0.68
fffe33003200310034003500,Female,724,Rio de Janeiro,No,3,5.0,6.8,0.57
fffe32003200310030003200,Female,407,Rio de Janeiro,Yes,2,3.0,4.9,0.39
fffe3300300031003100,Female,477,Sao Paulo,No,3,6.0,7.9,0.61
fffe33003300310030003900,Male,569,Sao Paulo,No,3,6.0,7.6,0.62
fffe31003200340034003500,Female,673,Rio de Janeiro,No,5,9.0,9.2,0.8
fffe32003400320036003200,Male,608,Rio de Janeiro,Yes,4,6.0,6.5,0.63
fffe3600330031003200,Female,499,Rio de Janeiro,No,3,5.0,6.8,0.6
fffe31003300330034003700,Female,440,Sao Paulo,No,4,8.0,8.7,0.79
fffe3600330032003400,Male,505,Rio de Janeiro,Yes,2,5.0,6.2,0.39
fffe3500300037003900,Female,724,Rio de Janeiro,No,3,5.0,5.8,0.36
fffe33003400360037003500,Female,533,Sao Paulo,No,2,4.0,6.6,0.5
fffe32003500310039003700,Male,477,Sao Paulo,No,4,7.0,8.2,0.72
fffe32003600370032003500,Female,545,Rio de Janeiro,Yes,2,3.0,4.9,0.34
fffe3200350037003200,Female,697,Rio de Janeiro,No,1,2.0,4.1,0.27
fffe3800390036003200,Male,518,Rio de Janeiro,No,3,7.0,7.4,0.66
fffe3400390032003600,Female,610,Sao Paulo,Yes,0,1.0,,0.04
fffe33003300360032003700,Male,590,Rio de Janeiro,Yes,1,2.0,4.4,0.27
fffe32003600360039003700,Female,401,Rio de Janeiro,No,2,6.0,6.9,0.67
fffe3200360031003700,Female,437,Sao Paulo,Yes,1,2.0,5.3,0.38
fffe33003300350036003100,Female,653,Rio de Janeiro,Yes,2,2.0,4.3,0.28
fffe31003600360039003900,Male,461,Sao Paulo,Yes,0,1.0,0.8,0.05
fffe31003500340038003100,Female,644,Rio de Janeiro,Yes,2,4.0,2.9,0.22
fffe32003400320034003800,Female,660,Rio de Janeiro,Yes,1,3.0,5.0,0.39
fffe31003300310036003300,Male,591,Rio de Janeiro,Yes,1,4.0,6.9,0.52
fffe33003100300031003200,Female,471,Rio de Janeiro,No,3,5.0,4.7,0.39
fffe31003300310037003900,Female,688,Rio de Janeiro,No,1,3.0,2.0,0.11
fffe3300300036003900,Female,469,Rio de Janeiro,No,2,4.0,5.4,0.44
fffe3300360039003000,Male,547,Sao Paulo,No,2,5.0,6.1,0.5
fffe3500340030003800,Female,431,Sao Paulo,Yes,1,4.0,5.1,0.41
fffe3800390038003000,Female,510,Rio de Janeiro,Yes,1,2.0,3.8,
fffe31003500310038003800,Male,710,Sao Paulo,No,4,9.0,,0.76
fffe340035003800,Female,626,Rio de Janeiro,Yes,3,5.0,4.7,0.43
fffe31003700300036003800,Male,432,Rio de Janeiro,Yes,3,5.0,5.4,0.46
fffe32003900320033003900,Female,701,Rio de Janeiro,No,4,7.0,9.1,0.85
fffe380031003300,Male,729,Rio de Janeiro,Yes,1,3.0,5.0,0.35
fffe33003200330030003500,Male,659,Sao Paulo,No,1,1.0,0.0,0.0
fffe33003300390037003700,Male,645,Sao Paulo,Yes,2,4.0,4.3,0.34
fffe31003500380034003100,Female,499,Rio de Janeiro,Yes,2,,6.7,0.44
fffe32003500370036003100,Female,447,Sao Paulo,No,2,5.0,5.7,0.55
fffe33003200300033003500,Male,412,Rio de Janeiro,Yes,4,6.0,6.8,0.62
fffe32003500370037003600,Male,502,Rio de Janeiro,No,3,6.0,7.6,0.72
fffe32003400380030003100,Male,397,Sao Paulo,Yes,3,8.0,8.3,0.71
fffe32003800330033003400,Female,511,Sao Paulo,No,1,3.0,5.5,0.39
fffe32003500360037003200,Female,552,Rio de Janeiro,No,1,3.0,5.3,0.48
fffe31003700350033003000,Female,605,Rio de Janeiro,No,3,7.0,8.0,0.7
fffe3900300032003700,Male,380,Rio de Janeiro,Yes,4,6.0,6.4,0.56
fffe3400320031003800,Female,480,Rio de Janeiro,Yes,1,3.0,3.6,0.27
fffe3300360035003600,Female,546,Sao Paulo,Yes,2,5.0,7.0,0.66
fffe31003900360033003300,Female,430,Sao Paulo,No,3,7.0,7.6,0.56
fffe32003800300036003600,Male,605,Rio de Janeiro,No,2,5.0,8.7,0.79
fffe31003900310039003200,Female,682,Sao Paulo,Yes,0,1.0,2.6,0.18
fffe3400390037003700,Female,633,Rio de Janeiro,Yes,2,4.0,4.7,0.33
fffe31003600300039003700,Male,690,Rio de Janeiro,Yes,2,4.0,6.4,0.4
fffe33003100380034003500,Female,670,Rio de Janeiro,No,2,5.0,5.8,0.39
fffe3800380039003400,Female,509,Rio de Janeiro,No,1,1.0,3.3,0.23
fffe31003500390038003000,Female,728,Sao Paulo,Yes,2,4.0,5.9,0.45
fffe3600310036003700,Female,446,Sao Paulo,No,2,,7.8,0.67
fffe3800390030003800,Male,413,Sao Paulo,Yes,1,3.0,7.0,0.52
fffe3300390033003100,Female,486,Rio de Janeiro,No,4,7.0,7.2,0.6
fffe3900330037003500,Male,454,Rio de Janeiro,Yes,3,7.0,7.9,0.59
fffe31003400350030003200,Female,580,Sao Paulo,No,3,5.0,,
fffe3300360038003700,Female,472,Rio de Janeiro,Yes,1,3.0,5.9,0.36
fffe32003400390034003500,Male,669,Rio de Janeiro,No,1,3.0,4.4,0.29
fffe33003100300035003600,Male,680,Rio de Janeiro,Yes,2,5.0,5.2,0.34
fffe31003900380032003800,Female,646,Sao Paulo,Yes,2,4.0,5.3,0.34
fffe3900340036003300,Male,698,Rio de Janeiro,No,3,5.0,,
fffe31003900300036003900,Female,393,Rio de Janeiro,No,4,6.0,,0.67
fffe31003600300030003000,Female,483,Sao Paulo,Yes,4,,8.9,0.76
fffe390031003100,Female,471,Sao Paulo,Yes,3,4.0,5.2,0.46
fffe31003300380039003700,Male,677,Rio de Janeiro,Yes,2,5.0,4.5,0.36
fffe32003700390032003000,Female,388,Sao Paulo,No,2,3.0,6.6,0.45
fffe32003000300035003100,Female,713,Sao Paulo,Yes,3,5.0,3.8,0.27
fffe33003400340033003100,Male,706,Sao Paulo,No,3,7.0,7.6,0.65
fffe32003200360039003000,Female,601,Rio de Janeiro,Yes,1,4.0,,
fffe3900380037003500,Female,595,Sao Paulo,Yes,3,6.0,5.6,0.34
fffe31003300380033003700,Female,509,Rio de Janeiro,Yes,1,3.0,5.4,0.37
fffe33003000340037003600,Male,552,Sao Paulo,Yes,1,2.0,4.9,0.25
fffe32003600370033003700,Male,604,Rio de Janeiro,No,2,5.0,7.3,0.57
fffe3600320032003900,Male,608,Rio de Janeiro,No,2,5.0,5.6,0.52
fffe31003100360037003000,Female,472,Sao Paulo,Yes,3,4.0,5.7,
fffe3400330035003800,Female,442,Sao Paulo,No,4,8.0,7.8,0.75
fffe3600380039003200,Female,541,Sao Paulo,Yes,4,7.0,6.7,0.55
fffe31003700330032003400,Female,661,Entebbe,No,1,4.0,6.5,0.43
fffe32003900320030003300,Female,504,Rio de Janeiro,Yes,0,1.0,1.8,0.1
fffe32003600370036003700,Female,494,Sao Paulo,No,3,6.0,8.1,0.68
fffe3500320039003100,Male,383,Sao Paulo,No,2,5.0,6.9,
fffe33003400300034003600,Male,615,Rio de Janeiro,Yes,3,7.0,6.4,0.56
fffe3400350037003000,Male,706,Rio de Janeiro,Yes,3,8.0,7.2,0.73
fffe32003800370034003800,Female,483,Entebbe,No,2,5.0,8.6,0.7
fffe31003500390039003000,Male,638,Rio de Janeiro,No,2,5.0,,0.58
fffe31003300330030003000,Male,378,Sao Paulo,No,4,8.0,9.5,0.88
fffe31003100370035003400,Male,506,Sao Paulo,Yes,2,6.0,6.8,0.63
fffe3100360037003800,Female,664,Rio de Janeiro,No,2,5.0,6.5,0.62
fffe3500390039003700,Female,474,Rio de Janeiro,Yes,2,3.0,3.5,0.25
fffe33003400350037003000,Male,617,Rio de Janeiro,No,2,3.0,4.8,0.4
fffe3300340033003900,Male,696,Sao Paulo,No,3,8.0,7.6,0.77
fffe32003800380038003500,Male,684,Sao Paulo,Yes,3,6.0,6.2,0.58
fffe31003700380039003600,Female,477,Sao Paulo,Yes,3,6.0,3.6,0.3
fffe32003600360038003400,Male,625,Sao Paulo,No,3,6.0,8.0,0.61
fffe31003000340032003700,Female,434,Rio de Janeiro,Yes,3,5.0,6.0,0.4
fffe3300380034003600,Female,667,Rio de Janeiro,Yes,1,3.0,3.8,0.33
fffe32003200320034003000,Female,638,Sao Paulo,Yes,1,2.0,2.4,0.06
fffe31003100380033003600,Male,511,Rio de Janeiro,Yes,1,4.0,4.3,0.36
fffe32003800310031003100,Female,470,Rio de Janeiro,Yes,1,2.0,3.7,0.28
fffe31003800370033003800,Male,463,Rio de Janeiro,Yes,2,6.0,,
fffe32003000330031003700,Male,671,Sao Paulo,Yes,2,5.0,5.6,0.37
fffe32003500340034003400,Female,588,Rio de Janeiro,Yes,0,1.0,1.0,0.03
fffe33003300310035003800,Female,481,Sao Paulo,Yes,2,5.0,7.2,0.67
fffe32003400360033003800,Male,649,Rio de Janeiro,Yes,1,3.0,6.7,0.46
fffe31003000300032003600,Female,707,Rio de Janeiro,Yes,1,2.0,,
fffe31003700330032003300,Female,368,Rio de Janeiro,Yes,3,8.0,7.5,0.72
fffe3900370030003600,Female,565,Rio de Janeiro,No,3,6.0,,0.69
fffe3900360033003500,Female,645,Rio de Janeiro,No,4,7.0,7.5,0.65
fffe31003100350037003700,Female,677,Sao Paulo,No,0,1.0,4.0,0.24
fffe31003400350033003700,Female,397,Rio de Janeiro,Yes,1,3.0,5.3,0.41
fffe3100390034003700,Female,455,Sao Paulo,No,2,5.0,7.5,0.68
fffe31003700380032003400,Female,715,Rio de Janeiro,Yes,1,2.0,,0.42
fffe31003300310035003400,Male,702,Sao Paulo,No,4,7.0,7.7,0.72
fffe33003400390035003500,Male,644,Rio de Janeiro,Yes,0,2.0,4.4,0.33
fffe31003600300032003500,Female,437,Rio de Janeiro,Yes,2,3.0,,0.37
fffe3700370031003700,Male,698,Rio de Janeiro,Yes,4,6.0,,0.6
fffe31003400340031003500,Male,445,Rio de Janeiro,Yes,3,5.0,6.5,0.48
fffe32003300340038003400,Male,693,Sao Paulo,Yes,2,4.0,5.5,0.48
fffe31003700310033003400,Male,402,Rio de Janeiro,No,2,5.0,5.0,0.36
fffe32003000330033003800,Female,618,Rio de Janeiro,Yes,1,1.0,,0.24
fffe31003400380038003100,Male,420,Sao Paulo,No,4,10.0,9.2,0.91
fffe3400350037003400,Male,560,Sao Paulo,Yes,2,5.0,5.0,
fffe31003000360035003700,Female,374,Sao Paulo,Yes,1,2.0,4.1,0.24
fffe33003400330035003900,Female,403,Rio de Janeiro,No,3,6.0,5.5,0.45
fffe3900350033003600,Male,559,Rio de Janeiro,No,5,9.0,8.8,0.85
fffe31003000300037003800,Female,591,Rio de Janeiro,No,2,4.0,5.5,0.34
fffe3900300031003000,Male,398,Sao Paulo,Yes,1,3.0,5.9,0.36
fffe33003100360037003700,Female,508,Rio de Janeiro,Yes,2,4.0,4.5,0.34
fffe3900350039003000,Male,612,Sao Paulo,No,3,6.0,8.0,0.59
fffe31003200370030003900,Female,528,Rio de Janeiro,Yes,2,4.0,5.8,0.44
fffe3800380035003500,Male,408,Rio de Janeiro,No,1,3.0,4.4,0.38
fffe32003000310034003600,Female,378,Sao Paulo,Yes,2,4.0,6.1,
fffe31003700380033003600,Male,368,Sao Paulo,No,3,6.0,7.5,0.59
fffe33003400360035003000,Female,560,Rio de Janeiro,No,2,7.0,8.0,0.7
fffe31003200370036003300,Male,488,Sao Paulo,No,2,3.0,6.1,0.42
fffe32003000320030003900,Male,585,Sao Paulo,Yes,1,2.0,5.1,0.46
fffe31003800390034003900,Female,372,Rio de Janeiro,Yes,3,4.0,,0.48
fffe32003800370033003600,Female,687,Rio de Janeiro,Yes,3,5.0,4.7,0.39
fffe33003000360035003300,Female,668,Rio de Janeiro,Yes,3,5.0,5.2,0.42
fffe31003100370037003500,Male,452,Sao Paulo,Yes,0,1.0,0.0,0.0
fffe32003700320037003100,Female,437,Rio de Janeiro,Yes,2,5.0,5.1,0.46
fffe31003800300037003300,Male,503,Sao Paulo,Yes,1,2.0,4.4,0.3
fffe32003700370030003400,Female,429,Sao Paulo,No,4,6.0,6.9,0.63
fffe31003400310039003400,Female,535,Rio de Janeiro,No,2,5.0,5.3,0.45
fffe3300370039003900,Male,620,Rio de Janeiro,No,2,3.0,,0.49
fffe3400350038003300,Female,487,Rio de Janeiro,Yes,3,6.0,6.0,0.58
fffe31003900300039003700,Male,726,Sao Paulo,No,4,7.0,8.6,0.67
fffe32003400330033003400,Male,652,Rio de Janeiro,No,2,5.0,7.3,0.71
fffe32003800310033003800,Female,627,Rio de Janeiro,Yes,1,3.0,5.5,0.48
fffe3700360035003600,Male,590,Rio de Janeiro,Yes,1,3.0,2.9,0.22
fffe32003000340039003700,Female,569,Sao Paulo,No,3,6.0,5.1,0.43
fffe3300350035003000,Male,455,Rio de Janeiro,Yes,4,8.0,,0.74
fffe3800350037003300,Male,685,Rio de Janeiro,No,2,5.0,6.4,0.57
fffe31003900330038003200,Female,696,Rio de Janeiro,Yes,2,3.0,,0.22
fffe3100360031003700,Male,508,Rio de Janeiro,Yes,1,,4.8,
fffe31003600380030003300,Female,408,Rio de Janeiro,No,3,,5.8,0.47
fffe33003400360039003100,Female,429,Rio de Janeiro,Yes,3,4.0,6.1,0.47
fffe33003000300033003700,Female,569,Rio de Janeiro,Yes,3,5.0,5.3,0.47
fffe3400370031003000,Female,445,Sao Paulo,Yes,1,4.0,5.5,0.34
fffe32003800370039003300,Female,448,Rio de Janeiro,Yes,1,3.0,5.5,0.37
fffe3400310036003300,Female,462,Rio de Janeiro,No,3,7.0,7.8,0.8
fffe31003100380031003200,Male,579,Sao Paulo,No,4,8.0,8.9,0.8
fffe3200390038003900,Female,539,Sao Paulo,No,2,,,0.36
fffe32003000370031003000,Female,527,Rio de Janeiro,Yes,1,4.0,6.9,0.49
fffe31003500390038003500,Female,540,Rio de Janeiro,Yes,1,3.0,,0.35
fffe31003400340032003700,Male,510,Rio de Janeiro,Yes,0,1.0,0.0,0.0
fffe33003000340033003600,Male,453,Rio de Janeiro,Yes,4,9.0,9.3,0.86
fffe31003500340030003900,Female,658,Rio de Janeiro,Yes,1,2.0,4.6,0.33
fffe3800310033003200,Female,515,Rio de Janeiro,Yes,2,5.0,7.3,
fffe31003200370033003800,Female,566,Rio de Janeiro,Yes,3,6.0,5.7,0.5
fffe33003200300031003300,Female,435,Rio de Janeiro,Yes,2,4.0,4.5,0.34
fffe32003100380035003300,Male,679,Sao Paulo,Yes,0,2.0,4.7,0.23
fffe3400340035003800,Male,697,Sao Paulo,No,4,8.0,9.9,0.92
fffe33003200380031003800,Female,592,Rio de Janeiro,Yes,3,6.0,6.3,0.44
fffe33003200330034003200,Female,468,Rio de Janeiro,Yes,1,3.0,3.6,0.15
fffe33003000310038003300,Female,664,Rio de Janeiro,Yes,0,2.0,4.3,0.32
fffe32003200390032003500,Female,518,Rio de Janeiro,Yes,3,4.0,6.5,0.43
fffe32003600360035003100,Male,714,Rio de Janeiro,No,4,9.0,8.7,0.78
fffe360030003700,Male,668,Rio de Janeiro,Yes,0,1.0,3.1,0.23
fffe31003200320037003900,Male,537,Rio de Janeiro,Yes,2,4.0,3.6,0.21
fffe3100320034003200,Male,504,Rio de Janeiro,Yes,1,2.0,3.6,0.23
fffe3600390030003500,Female,423,Sao Paulo,Yes,3,5.0,5.7,0.4
fffe32003100360038003100,Female,403,Rio de Janeiro,Yes,2,5.0,5.7,0.38
fffe32003800370033003900,Female,625,Rio de Janeiro,No,0,1.0,0.5,0.0
fffe31003100300038003900,Female,392,Sao Paulo,No,2,4.0,3.9,0.33
fffe310030003300,Male,523,Sao Paulo,Yes,3,,7.3,0.63
fffe3600350036003900,Female,390,Sao Paulo,No,2,5.0,7.0,0.62
fffe32003200330038003600,Female,445,Rio de Janeiro,No,2,4.0,,0.39
fffe3700340032003100,Male,565,Rio de Janeiro,Yes,3,4.0,5.4,0.36
fffe32003100390036003700,Female,576,Rio de Janeiro,Yes,2,3.0,3.7,0.28
fffe31003600360035003400,Female,380,Sao Paulo,No,3,,7.4,0.56
fffe31003800360038003300,Female,479,Rio de Janeiro,Yes,2,4.0,6.1,0.41
fffe32003800330034003000,Male,696,Rio de Janeiro,Yes,0,1.0,2.8,0.1
fffe32003400300033003500,Female,426,Rio de Janeiro,No,2,4.0,6.9,0.63
fffe31003400390032003000,Male,704,Rio de Janeiro,Yes,3,7.0,7.3,0.67
fffe32003600300034003200,Male,627,Rio de Janeiro,No,3,7.0,7.2,0.62
fffe32003200380037003700,Male,637,Rio de Janeiro,Yes,2,7.0,9.0,0.77
fffe31003500330036003700,Female,544,Rio de Janeiro,No,0,1.0,0.0,0.0
fffe32003900310031003300,Male,378,Sao Paulo,Yes,2,6.0,5.6,0.51
fffe33003100310035003200,Female,369,Rio de Janeiro,Yes,2,4.0,6.8,0.61
fffe3300330034003200,Female,690,Rio de Janeiro,Yes,1,3.0,5.1,0.41
fffe3400360032003100,Female,542,Rio de Janeiro,Yes,3,5.0,6.0,0.53
fffe3700390038003900,Female,381,Rio de Janeiro,Yes,1,3.0,6.8,0.5
fffe32003700330036003100,Male,410,Sao Paulo,Yes,2,5.0,6.5,0.55
fffe3100310034003000,Male,537,Rio de Janeiro,Yes,4,6.0,5.7,0.49
fffe31003400370037003600,Male,711,Rio de Janeiro,Yes,2,,6.9,0.57
fffe31003500330036003100,Male,439,Sao Paulo,Yes,3,5.0,6.1,0.44
fffe3200340032003800,Male,725,Rio de Janeiro,Yes,3,7.0,8.8,0.7
fffe32003500340036003900,Female,437,Rio de Janeiro,Yes,1,2.0,6.8,0.48
fffe3500340030003100,Male,373,Sao Paulo,No,0,,3.8,0.23
fffe31003100320034003200,Male,571,Rio de Janeiro,No,4,7.0,,0.79
fffe32003500330030003600,Male,713,Rio de Janeiro,No,2,5.0,6.8,0.6
fffe32003800370038003100,Male,475,Sao Paulo,Yes,2,4.0,5.5,0.48
fffe33003400390038003700,Female,430,Rio de Janeiro,Yes,2,3.0,4.5,0.21
fffe31003600370032003800,Female,528,Sao Paulo,No,2,2.0,2.6,0.15
fffe32003400350038003000,Male,444,Rio de Janeiro,No,5,10.0,10.0,0.98
fffe31003100350037003800,Female,419,Rio de Janeiro,Yes,1,2.0,4.3,0.25
fffe32003700310038003500,Male,685,Sao Paulo,No,3,8.0,8.8,0.7
fffe32003400390031003600,Female,539,Rio de Janeiro,No,4,7.0,7.2,0.69
fffe3500350032003300,Male,486,Rio de Janeiro,Yes,1,3.0,4.4,0.33
fffe3300360036003400,Female,393,Rio de Janeiro,No,2,4.0,5.5,0.44
fffe33003200380032003700,Female,371,Sao Paulo,No,2,5.0,7.8,0.57
fffe33003300320037003500,Male,603,Sao Paulo,Yes,1,3.0,4.5,0.27
fffe32003200330034003200,Male,507,Rio de Janeiro,No,4,6.0,6.7,0.67
fffe31003000340033003200,Female,706,Rio de Janeiro,No,1,1.0,3.4,0.25
fffe390035003100,Female,495,Rio de Janeiro,No,0,1.0,3.6,0.18
fffe3500300035003400,Female,698,Sao Paulo,No,3,7.0,7.9,0.6
fffe32003500370035003000,Female,458,Rio de Janeiro,Yes,2,5.0,5.3,0.39
fffe31003700340033003400,Female,467,Rio de Janeiro,Yes,1,3.0,5.3,0.34
fffe33003400340030003900,Female,417,Sao Paulo,No,3,6.0,5.5,0.52
fffe33003100320037003700,Female,613,Sao Paulo,No,1,3.0,5.4,0.42
fffe3900300039003300,Male,372,Sao Paulo,Yes,1,1.0,4.8,0.28
fffe31003600330039003300,Female,723,Sao Paulo,Yes,2,4.0,6.2,0.38
fffe3500370038003800,Male,593,Sao Paulo,No,4,6.0,6.9,0.59
fffe3200340033003500,Female,709,Sao Paulo,Yes,2,5.0,8.0,0.62
fffe31003700370036003700,Male,474,Sao Paulo,No,3,7.0,8.7,0.76
fffe3200350035003100,Female,510,Rio de Janeiro,No,1,3.0,4.2,0.33
fffe33003100310030003900,Male,389,Rio de Janeiro,No,2,2.0,4.2,0.28
fffe33003000370038003600,Female,707,Rio de Janeiro,No,3,6.0,7.2,0.62
fffe31003900330039003900,Female,450,Rio de Janeiro,Yes,2,4.0,5.2,0.45
fffe31003500380036003900,Male,474,Rio de Janeiro,Yes,2,2.0,3.3,0.24
fffe3400310039003500,Male,511,Sao Paulo,No,0,1.0,1.6,
fffe33003100350036003000,Male,461,Rio de Janeiro,No,2,5.0,6.3,0.53
fffe340039003600,Male,608,Rio de Janeiro,Yes,2,4.0,6.8,0.59
fffe3700330038003100,Female,526,Sao Paulo,Yes,0,1.0,2.0,
fffe3700300032003000,Male,590,Sao Paulo,Yes,3,6.0,,0.65
fffe31003500390034003500,Male,697,Sao Paulo,Yes,3,5.0,3.8,0.29
fffe3200370032003800,Female,599,Sao Paulo,Yes,1,2.0,2.7,0.19
fffe3200370037003600,Female,680,Rio de Janeiro,No,4,7.0,8.1,0.65
fffe32003900350036003500,Female,388,Sao Paulo,Yes,1,1.0,1.3,0.02
fffe33003000380035003300,Female,442,Rio de Janeiro,Yes,2,4.0,7.0,0.47
fffe31003800320039003800,Male,595,Rio de Janeiro,No,4,7.0,,0.82
fffe31003300310039003200,Female,432,Rio de Janeiro,No,2,5.0,6.6,0.43
fffe32003800340031003500,Female,466,Rio de Janeiro,No,2,5.0,7.9,0.61
fffe31003400320038003900,Female,513,Sao Paulo,No,0,2.0,4.7,0.33
fffe32003700300037003600,Female,608,Rio de Janeiro,No,2,4.0,7.9,0.6
fffe32003600380034003200,Female,669,Sao Paulo,No,2,6.0,6.4,0.52
fffe31003800360034003800,Male,611,Rio de Janeiro,Yes,5,9.0,9.3,0.93
fffe31003500340036003400,Male,377,Sao Paulo,No,2,4.0,6.3,0.47
fffe3100350036003700,Male,487,Rio de Janeiro,No,2,,6.4,0.53
fffe31003900380039003900,Male,670,Rio de Janeiro,No,3,7.0,6.9,0.51
fffe31003300390037003400,Female,693,Rio de Janeiro,Yes,1,1.0,4.9,0.26
fffe32003500380038003000,Female,628,Sao Paulo,Yes,3,4.0,5.2,0.42
fffe33003100340038003200,Female,407,Rio de Janeiro,No,2,5.0,6.2,0.58
fffe32003600340033003900,Female,408,Rio de Janeiro,Yes,1,2.0,5.3,0.3
fffe32003500350030003000,Male,507,Sao Paulo,Yes,3,6.0,6.2,0.56
fffe31003700300039003800,Male,629,Sao Paulo,No,2,5.0,6.1,0.57
fffe32003400350032003300,Female,409,Rio de Janeiro,Yes,2,3.0,5.5,0.3
